数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力（N）,推力波动（N）,平均铜损(W),平均铁损(W),,,,,,,平均铜损(mW),平均铁损(mW)
122,-0.141990459,1.341640786,1.341640786,1.224744871,-0.878310066,85.08891832,43.82318255,23.45295499,0.843317589,,,,,,,21468.57138,843.3175893
123,0.283980917,-0.447213595,1.341640786,-1.224744871,0.292770022,81.46361246,18.10321297,18.70676915,1.004063556,,,,,,,24319.11344,1004.063556
124,-0.141990459,-0.447213595,1.341640786,-1.224744871,-1.463850109,66.93019351,21.72467037,17.67240468,0.938666915,,,,,,,24319.11344,938.666915
125,0.283980917,-0.447213595,-1.341640786,1.224744871,1.463850109,133.5195542,53.01250867,24.53549533,1.255889791,,,,,,,18534.46871,1255.889791
126,0.283980917,0.447213595,-1.341640786,-1.224744871,-1.463850109,69.02164514,40.21033837,17.15467555,1.224337177,,,,,,,18534.46871,1224.337177
127,0.283980917,0.447213595,-1.341640786,1.224744871,1.463850109,127.4666986,95.5996353,24.53549533,1.373568171,,,,,,,21274.26653,1373.568171
128,-0.141990459,0.447213595,1.341640786,-1.224744871,-0.878310066,77.39146758,30.08948943,18.01734701,1.327773534,,,,,,,21274.26653,1327.773534
129,0.709952293,0.447213595,1.341640786,-1.224744871,0.878310066,93.41812494,31.35294927,19.05126592,1.541131006,,,,,,,24102.6702,1541.131006
130,0.709952293,-0.447213595,-1.341640786,1.224744871,-0.292770022,97.57973775,41.1122325,23.23624866,1.502844972,,,,,,,24102.6702,1502.844972
131,0.283980917,0.447213595,1.341640786,1.224744871,-1.463850109,75.8078895,28.07905131,23.01947179,1.097457962,,,,,,,18706.76915,1097.457962
132,-0.141990459,-0.447213595,1.341640786,1.224744871,0.292770022,93.60820959,23.69751004,24.31911344,1.059698108,,,,,,,18706.76915,1059.698108
133,0.99393321,-0.447213595,-1.341640786,-1.224744871,-1.463850109,65.98942634,43.4280403,17.15467555,1.20225181,,,,,,,21468.57138,1202.25181
134,0.283980917,0.447213595,1.341640786,-1.224744871,-0.292770022,73.21262649,33.36764602,18.36213224,1.157095577,,,,,,,21468.57138,1157.095577
135,0.283980917,1.341640786,-1.341640786,-1.224744871,-0.878310066,79.47264072,46.60769572,17.49987165,1.334646043,,,,,,,24319.11344,1334.646043
136,0.709952293,1.341640786,1.341640786,-1.224744871,-0.292770022,75.4822576,35.53110561,18.36213224,1.287669784,,,,,,,24319.11344,1287.669784
137,0.99393321,0.447213595,1.341640786,-1.224744871,-0.878310066,72.49600378,30.5899433,18.01734701,0.98403413,,,,,,,18879.03457,984.03413
138,0.99393321,0.447213595,1.341640786,1.224744871,-0.292770022,92.84245215,32.63490809,23.8861639,0.943858694,,,,,,,18879.03457,943.8586943
139,0.283980917,-0.447213595,1.341640786,1.224744871,-0.292770022,85.15184797,27.1923243,23.8861639,1.081774947,,,,,,,21662.82905,1081.774947
140,0.99393321,-0.447213595,1.341640786,-1.224744871,-1.463850109,69.6467703,26.70163836,17.67240468,1.016455136,,,,,,,21662.82905,1016.455136
