Data number,Slot opening width Bs0 (mm),Axial length of permanent magnet/moving pole distance a,Air gap thickness gap (mm),Coil radial width rcoil (mm),Permanent magnet radial length rpm (mm),Average thrust (N),Thrust fluctuation (N),Average copper loss (W)
193,-1.845875961,-1.341640786,-1.341640786,-1.224744871,-0.292770022,73.85610932,31.20788341,17.84489606
194,0.99393321,-1.341640786,-1.341640786,-1.224744871,-0.292770022,76.97454077,43.09757803,17.84489606
195,-1.845875961,-1.341640786,-1.341640786,0,-0.292770022,81.05769009,29.35290765,20.496548
196,0.99393321,-1.341640786,-1.341640786,0,-0.292770022,76.02783173,51.04161657,20.496548
197,-1.845875961,-1.341640786,-1.341640786,1.224744871,-0.292770022,92.81401899,35.78511456,23.23624866
198,0.99393321,-1.341640786,-1.341640786,1.224744871,-0.292770022,86.42823001,55.34288812,23.23624866
199,-1.845875961,-1.341640786,-0.447213595,-1.224744871,-0.292770022,71.44921342,26.82863219,18.01734701
200,0.99393321,-1.341640786,-0.447213595,-1.224744871,-0.292770022,73.04137876,39.51870575,18.01734701
201,-1.845875961,-1.341640786,-0.447213595,0,-0.292770022,71.08436986,28.61141511,20.69105537
202,0.99393321,-1.341640786,-0.447213595,0,-0.292770022,74.44231273,40.82495143,20.69105537
203,-1.845875961,-1.341640786,-0.447213595,1.224744871,-0.292770022,89.42063053,24.1462433,23.45295499
204,0.99393321,-1.341640786,-0.447213595,1.224744871,-0.292770022,85.94513573,38.25170854,23.45295499
205,-1.845875961,-1.341640786,0.447213595,-1.224744871,-0.292770022,67.86264528,24.56593612,18.1897587
206,0.99393321,-1.341640786,0.447213595,-1.224744871,-0.292770022,70.36365511,28.18303737,18.1897587
207,-1.845875961,-1.341640786,0.447213595,0,-0.292770022,83.55910636,20.76594866,20.88550993
208,0.99393321,-1.341640786,0.447213595,0,-0.292770022,90.48152559,38.91348071,20.88550993
209,-1.845875961,-1.341640786,0.447213595,1.224744871,-0.292770022,93.13076131,25.5158322,23.66959277
210,0.99393321,-1.341640786,0.447213595,1.224744871,-0.292770022,93.48055938,36.15615555,23.66959277
211,-1.845875961,-1.341640786,1.341640786,-1.224744871,-0.292770022,79.20345298,15.06944402,18.36213224
212,0.99393321,-1.341640786,1.341640786,-1.224744871,-0.292770022,69.70993983,23.99856469,18.36213224
213,-1.845875961,-1.341640786,1.341640786,0,-0.292770022,80.70535813,17.93491988,21.07991317
214,0.99393321,-1.341640786,1.341640786,0,-0.292770022,78.79202646,27.17326874,21.07991317
215,-1.845875961,-1.341640786,1.341640786,1.224744871,-0.292770022,88.93032333,19.7040113,23.8861639
216,0.99393321,-1.341640786,1.341640786,1.224744871,-0.292770022,86.08128823,33.44774363,23.8861639
217,-1.845875961,-1.341640786,-1.341640786,-1.224744871,0.292770022,81.99063122,34.68734407,18.1897587
218,0.99393321,-1.341640786,-1.341640786,-1.224744871,0.292770022,77.2082027,45.10485814,18.1897587
219,-1.845875961,-1.341640786,-1.341640786,0,0.292770022,87.05784827,25.11650431,20.88550993
220,0.99393321,-1.341640786,-1.341640786,0,0.292770022,94.45369859,43.49922537,20.88550993
221,-1.845875961,-1.341640786,-1.341640786,1.224744871,0.292770022,97.28503454,44.36998441,23.66959277
222,0.99393321,-1.341640786,-1.341640786,1.224744871,0.292770022,97.26165616,55.91143032,23.66959277
223,-1.845875961,-1.341640786,-0.447213595,-1.224744871,0.292770022,79.81860632,26.30866991,18.36213224
224,0.99393321,-1.341640786,-0.447213595,-1.224744871,0.292770022,79.14706823,34.81042998,18.36213224
225,-1.845875961,-1.341640786,-0.447213595,0,0.292770022,94.30059609,22.72982177,21.07991317
226,0.99393321,-1.341640786,-0.447213595,0,0.292770022,97.60060261,43.38522243,21.07991317
227,-1.845875961,-1.341640786,-0.447213595,1.224744871,0.292770022,99.18270082,24.44424367,23.8861639
228,0.99393321,-1.341640786,-0.447213595,1.224744871,0.292770022,89.76688198,45.28710467,23.8861639
229,-1.845875961,-1.341640786,0.447213595,-1.224744871,0.292770022,75.86890835,18.52080957,18.53446871
230,0.99393321,-1.341640786,0.447213595,-1.224744871,0.292770022,71.60869056,31.21527877,18.53446871
231,-1.845875961,-1.341640786,0.447213595,0,0.292770022,86.89495565,27.72841034,21.27426653
232,0.99393321,-1.341640786,0.447213595,0,0.292770022,91.21041676,43.34974813,21.27426653
233,-1.845875961,-1.341640786,0.447213595,1.224744871,0.292770022,95.76236122,21.6108486,24.1026702
234,0.99393321,-1.341640786,0.447213595,1.224744871,0.292770022,94.8518933,35.36714819,24.1026702
235,-1.845875961,-1.341640786,1.341640786,-1.224744871,0.292770022,69.79193408,22.13881858,18.70676915
236,0.99393321,-1.341640786,1.341640786,-1.224744871,0.292770022,70.1932855,29.6574402,18.70676915
237,-1.845875961,-1.341640786,1.341640786,0,0.292770022,88.09018143,31.81634216,21.46857138
238,0.99393321,-1.341640786,1.341640786,0,0.292770022,84.41525817,37.45784545,21.46857138
239,-1.845875961,-1.341640786,1.341640786,1.224744871,0.292770022,94.08693443,20.24698779,24.31911344
240,0.99393321,-1.341640786,1.341640786,1.224744871,0.292770022,91.30533382,30.81400082,24.31911344
241,-1.845875961,-1.341640786,-1.341640786,-1.224744871,0.878310066,85.4689588,28.9621104,18.53446871
242,0.99393321,-1.341640786,-1.341640786,-1.224744871,0.878310066,82.4196166,54.76090311,18.53446871
243,-1.845875961,-1.341640786,-1.341640786,0,0.878310066,86.40702295,42.47591947,21.27426653
244,0.99393321,-1.341640786,-1.341640786,0,0.878310066,87.26491198,71.0494744,21.27426653
245,-1.845875961,-1.341640786,-1.341640786,1.224744871,0.878310066,105.3032042,31.23161126,24.1026702
246,0.99393321,-1.341640786,-1.341640786,1.224744871,0.878310066,106.6208432,44.33672664,24.1026702
247,-1.845875961,-1.341640786,-0.447213595,-1.224744871,0.878310066,78.96581197,30.69982521,18.70676915
248,0.99393321,-1.341640786,-0.447213595,-1.224744871,0.878310066,85.25588048,47.48786976,18.70676915
249,-1.845875961,-1.341640786,-0.447213595,0,0.878310066,91.05757374,36.54029511,21.46857138
250,0.99393321,-1.341640786,-0.447213595,0,0.878310066,98.60288125,62.22971994,21.46857138
251,-1.845875961,-1.341640786,-0.447213595,1.224744871,0.878310066,109.3715586,28.44397462,24.31911344
252,0.99393321,-1.341640786,-0.447213595,1.224744871,0.878310066,109.3309273,34.70060702,24.31911344
253,-1.845875961,-1.341640786,0.447213595,-1.224744871,0.878310066,81.05310079,33.08369183,18.87903457
254,0.99393321,-1.341640786,0.447213595,-1.224744871,0.878310066,79.63953652,41.9500757,18.87903457
255,-1.845875961,-1.341640786,0.447213595,0,0.878310066,94.64468535,27.21553876,21.66282905
256,0.99393321,-1.341640786,0.447213595,0,0.878310066,95.49469149,32.49947193,21.66282905
257,-1.845875961,-1.341640786,0.447213595,1.224744871,0.878310066,105.6530231,25.85248432,24.53549533
258,0.99393321,-1.341640786,0.447213595,1.224744871,0.878310066,101.5383853,37.79371388,24.53549533
259,-1.845875961,-1.341640786,1.341640786,-1.224744871,0.878310066,95.00382448,17.72363599,19.05126592
